ct_code;ct_def;ct_ordre;ct_type;ct_mode;ct_maintable;ct_att;ct_attunique;ct_origine;ct_sensib;ct_prio;ct_statut;ct_priodev;ct_file;ct_sqlview;ct_sqltable;ct_sqlcheck;ct_sqlfunction;ct_conf_fill;ct_conf;ct_open;ct_source;ct_date;commentaire
ad_code_1_r00001;Valeur NULL pour un attribut dont le remplissage est obligatoire. ;0;R;A;t_adresse;ad_code;ad_code;P;3;1;3;;;1;0;;;;;;;;
ad_ban_id_1_r00002;Valeur NULL pour un attribut dont le remplissage est obligatoire. ;0;R;A;t_adresse;ad_ban_id;ad_ban_id;P;3;1;3;;;1;0;;;;;;;;
ad_nomvoie_1_r00003;Valeur NULL pour un attribut dont le remplissage est obligatoire. ;0;R;A;t_adresse;ad_nomvoie;ad_nomvoie;P;3;1;3;;;1;0;;;;;;;;
ad_fantoir_1_r00004;Valeur NULL pour un attribut dont le remplissage est obligatoire. ;0;R;A;t_adresse;ad_fantoir;ad_fantoir;P;3;1;3;;;1;0;;;;;;;;
ad_numero_1_r00005;Valeur NULL pour un attribut dont le remplissage est obligatoire. ;0;R;A;t_adresse;ad_numero;ad_numero;P;3;1;3;;;1;0;;;;;;;;
ad_rep_1_r00006;Valeur NULL pour un attribut dont le remplissage est obligatoire. ;0;R;A;t_adresse;ad_rep;ad_rep;P;3;1;3;;;1;0;;;;;;;;
ad_insee_1_r00007;Valeur NULL pour un attribut dont le remplissage est obligatoire. ;0;R;A;t_adresse;ad_insee;ad_insee;P;3;1;3;;;1;0;;;;;;;;
ad_postal_1_r00008;Valeur NULL pour un attribut dont le remplissage est obligatoire. ;0;R;A;t_adresse;ad_postal;ad_postal;P;3;1;3;;;1;0;;;;;;;;
ad_alias_1_r00009;Valeur NULL pour un attribut dont le remplissage est obligatoire. ;0;R;A;t_adresse;ad_alias;ad_alias;P;3;1;3;;;1;0;;;;;;;;
ad_nom_ld_1_r00010;Valeur NULL pour un attribut dont le remplissage est obligatoire. ;0;R;A;t_adresse;ad_nom_ld;ad_nom_ld;P;3;1;3;;;1;0;;;;;;;;
ad_x_ban_1_r00011;Valeur NULL pour un attribut dont le remplissage est obligatoire. ;0;R;A;t_adresse;ad_x_ban;ad_x_ban;P;3;1;3;;;1;0;;;;;;;;
ad_y_ban_1_r00012;Valeur NULL pour un attribut dont le remplissage est obligatoire. ;0;R;A;t_adresse;ad_y_ban;ad_y_ban;P;3;1;3;;;1;0;;;;;;;;
ad_commune_1_r00013;Valeur NULL pour un attribut dont le remplissage est obligatoire. ;0;R;A;t_adresse;ad_commune;ad_commune;P;3;1;3;;;1;0;;;;;;;;
ad_section_1_r00014;Valeur NULL pour un attribut dont le remplissage est obligatoire. ;0;R;A;t_adresse;ad_section;ad_section;P;3;1;3;;;1;0;;;;;;;;
ad_idpar_1_r00015;Valeur NULL pour un attribut dont le remplissage est obligatoire. ;0;R;A;t_adresse;ad_idpar;ad_idpar;P;3;1;3;;;1;0;;;;;;;;
ad_x_parc_1_r00016;Valeur NULL pour un attribut dont le remplissage est obligatoire. ;0;R;A;t_adresse;ad_x_parc;ad_x_parc;P;3;1;3;;;1;0;;;;;;;;
ad_y_parc_1_r00017;Valeur NULL pour un attribut dont le remplissage est obligatoire. ;0;R;A;t_adresse;ad_y_parc;ad_y_parc;P;3;1;3;;;1;0;;;;;;;;
ad_nat_1_r00018;Valeur NULL pour un attribut dont le remplissage est obligatoire. ;0;R;A;t_adresse;ad_nat;ad_nat;P;3;1;3;;;1;0;;;;;;;;
ad_nblhab_1_r00019;Valeur NULL pour un attribut dont le remplissage est obligatoire. ;0;R;A;t_adresse;ad_nblhab;ad_nblhab;P;3;1;3;;;1;0;;;;;;;;
ad_nblpro_1_r00020;Valeur NULL pour un attribut dont le remplissage est obligatoire. ;0;R;A;t_adresse;ad_nblpro;ad_nblpro;P;3;1;3;;;1;0;;;;;;;;
