reseau;nomtable;pre;dia;avp;pro_ou_act;exe;tvx_ou_rec;mco
DSP AFFERMAGE FTTH;t_cheminement; ; ;O;O;O;O;O
DSP AFFERMAGE FTTH;t_conduite;N;N;"";"";O;O;O
DSP AFFERMAGE FTTH;t_cond_chem;N;N;"";"";O;O;O
DSP AFFERMAGE FTTH;t_cable; ; ;O;O;O;O;O
DSP AFFERMAGE FTTH;t_cableline; ; ;O;O;O;O;O
DSP AFFERMAGE FTTH;t_cab_cond;N;N;"";"";O;O;O
DSP AFFERMAGE FTTH;t_fibre;N;N;N;"";O;O;O
DSP AFFERMAGE FTTH;t_cassette;N;N;"";"";O;O;O
DSP AFFERMAGE FTTH;t_position;N;N;N;"";O;O;O
DSP AFFERMAGE FTTH;t_ropt;N;N;N;N;"";"";O
DSP AFFERMAGE FTTH;t_noeud;O;O;O;O;O;O;O
DSP AFFERMAGE FTTH;t_ptech;O;O;O;O;O;O;O
DSP AFFERMAGE FTTH;t_masque;N;N;N;N;O;O;O
DSP AFFERMAGE FTTH;t_love;N;N;"";"";"";O;O
DSP AFFERMAGE FTTH;t_ebp; ; ;O;O;O;O;O
DSP AFFERMAGE FTTH;t_sitetech;O;O;O;O;O;O;O
DSP AFFERMAGE FTTH;t_ltech;O;O;O;O;O;O;O
DSP AFFERMAGE FTTH;t_baie;N;N;"";"";O;O;O
DSP AFFERMAGE FTTH;t_tiroir;N;N;"";"";O;O;O
DSP AFFERMAGE FTTH;t_equipement;N;N;"";"";O;O;O
DSP AFFERMAGE FTTH;t_reference;"";"";"";O;O;O;O
DSP AFFERMAGE FTTH;t_suf;"";"";O;O;O;O;O
DSP AFFERMAGE FTTH;t_adresse;"";"";O;O;O;O;O
DSP AFFERMAGE FTTH;t_siteemission;"";"";"";"";"";"";O
DSP AFFERMAGE FTTH;t_organisme;O;O;O;O;O;O;O
DSP AFFERMAGE FTTH;t_znro;O;O;O;O;O;O;O
DSP AFFERMAGE FTTH;t_zsro;"";"";O;O;O;O;O
DSP AFFERMAGE FTTH;t_zpbo;"";"";O;O;O;O;O
DSP AFFERMAGE FTTH;t_zdep;N;N;N;O;O;O;O
DSP AFFERMAGE FTTH;t_zcoax;O;O;O;O;O;O;O
DSP AFFERMAGE FTTH;t_document;"";"";"";"";"";"";""
DSP AFFERMAGE FTTH;t_docobj;N;N;N;"";"";"";""
DSP AFFERMAGE FTTH;t_empreinte;"";"";"";"";"";"";""
