cc_cb_code;cc_cd_code;cc_creadat;cc_majdate;cc_majsrc;cc_abddate;cc_abdsrc
CB000180030001;CD201800331341;2015-06-01 00:00:00;;;;
CB000180030003;CD001800331341;2015-06-03 00:00:00;;;;
CB000180030916;CD201800331342;2015-06-01 00:00:00;;;;
CB000180030341;CD001800325991;2015-06-01 00:00:00;;;;
CB000180030975;CD001800326021;2015-06-01 00:00:00;;;;
CB000180030739;CD001800329561;2015-06-01 00:00:00;;;;
CB000180030329;CD001800329581;2015-06-01 00:00:00;;;;
CB000180030003;CD001800325991;2015-06-03 00:00:00;;;;
CB000180030003;CD001800325981;2015-06-03 00:00:00;;;;
CB000180030007;CD001800335703;2015-06-03 00:00:00;;;;
CB000180030341;CD001800331342;2015-06-03 00:00:00;;;;
CB000180030975;CD001800331343;2015-06-03 00:00:00;;;;
