cs_code;cs_nb_pas;cs_bp_code;cs_num;cs_type;cs_face;cs_rf_code;cs_comment;cs_creadat;cs_majdate;cs_majsrc;cs_abddate;cs_abdsrc
CS001800300911;1;BP000180030091;1;E;A;RF000000000014;;2015-06-03 00:00:00;2015-06-04 00:00:00;;;
CS001800306751;1;BP000180030675;1;E;A;RF000000000014;;2015-06-01 00:00:00;2015-06-04 00:00:00;;;
CS001800306761;1;BP000180030676;1;E;A;RF000000000014;;2015-06-02 00:00:00;2015-06-04 00:00:00;;;
CS001800306762;1;BP000180030676;2;E;A;RF000000000014;;2015-06-02 00:00:00;2015-06-04 00:00:00;;;
CS001800307051;1;BP000180030705;1;E;A;RF000000000014;;2015-06-02 00:00:00;2015-06-04 00:00:00;;;
CS001800307052;1;BP000180030705;2;E;A;RF000000000014;;2015-06-02 00:00:00;2015-06-04 00:00:00;;;
CS001800307141;1;BP000180030714;1;E;A;RF000000000014;;2015-06-08 00:00:00;;;;
CS001800307142;1;BP000180030714;2;E;A;RF000000000014;;;;;;
CS001800309761;1;BP000180030976;1;E;A;RF000000000014;;2015-06-02 00:00:00;2015-06-04 00:00:00;;;
CS001800309762;1;BP000180030976;2;E;A;RF000000000014;;2015-06-02 00:00:00;2015-06-04 00:00:00;;;
CS001800309763;1;BP000180030976;3;E;A;RF000000000014;;2015-06-02 00:00:00;2015-06-04 00:00:00;;;
CS001800309764;1;BP000180030976;4;E;A;RF000000000014;;2015-06-02 00:00:00;2015-06-04 00:00:00;;;
