ct_id,ct_code,ct_def,ct_ordre,ct_type,ct_mode,ct_maintable,ct_att,ct_attunique,ct_origine,ct_sensib,ct_prio,ct_statut,ct_priodev,ct_file,ct_sqlview,ct_sqltable,ct_sqlcheck,ct_sqlfunction,t_ct_conf_fill,t_ct_conf_spec,ct_open,commentaire,pg_sql,spatialite_sql
1339,ad_code_1_r00001,Valeur NULL pour un attribut dont le remplissage est obligatoire. ,,R,A,t_adresse,ad_code,ad_code,P,3,1,3,,,1,0,,,,,,,"/*ad_code_1_r00001*/
	SELECT 
'		ad_code_1_r00001' AS ct_code,
		'r' AS ct_type,  
		'Valeur NULL pour un attribut dont le remplissage est obligatoire. ' AS ct_def,  
		'1' AS ct_sensib,  
		NULL AS ct_detail, 
		--datetime('now', 'localtime') AS ct_date, --sqlite
		NOW() AS ct_date,  --postgresql
		'LIV00000' AS ct_liv,  
		*
	FROM t_adresse
	WHERE ad_code IS NULL
	;","/*ad_code_1_r00001*/
	SELECT 
		'ad_code_1_r00001' AS ct_code,
		'r' AS ct_type,  
		'Valeur NULL pour un attribut dont le remplissage est obligatoire. ' AS ct_def,  
		'1' AS ct_sensib,  
		NULL AS ct_detail, 
		datetime('now', 'localtime') AS ct_date, --sqlite
		--NOW() AS ct_date,  --postgresql
		'LIV00000' AS ct_liv,  
		*
	FROM t_adresse
	WHERE ad_code IS NULL
	;"
1340,ad_ban_id_1_r00002,Valeur NULL pour un attribut dont le remplissage est obligatoire. ,,R,A,t_adresse,ad_ban_id,ad_ban_id,P,3,1,3,,,1,0,,,,,,,"/*ad_ban_id_1_r00002*/
	SELECT 
'		ad_ban_id_1_r00002' AS ct_code,
		'r' AS ct_type,  
		'Valeur NULL pour un attribut dont le remplissage est obligatoire. ' AS ct_def,  
		'1' AS ct_sensib,  
		NULL AS ct_detail, 
		--datetime('now', 'localtime') AS ct_date, --sqlite
		NOW() AS ct_date,  --postgresql
		'LIV00000' AS ct_liv,  
		*
	FROM t_adresse
	WHERE ad_ban_id IS NULL
	;","/*ad_ban_id_1_r00002*/
	SELECT 
		'ad_ban_id_1_r00002' AS ct_code,
		'r' AS ct_type,  
		'Valeur NULL pour un attribut dont le remplissage est obligatoire. ' AS ct_def,  
		'1' AS ct_sensib,  
		NULL AS ct_detail, 
		datetime('now', 'localtime') AS ct_date, --sqlite
		--NOW() AS ct_date,  --postgresql
		'LIV00000' AS ct_liv,  
		*
	FROM t_adresse
	WHERE ad_ban_id IS NULL
	;"
1341,ad_nomvoie_1_r00003,Valeur NULL pour un attribut dont le remplissage est obligatoire. ,,R,A,t_adresse,ad_nomvoie,ad_nomvoie,P,3,1,3,,,1,0,,,,,,,"/*ad_nomvoie_1_r00003*/
	SELECT 
'		ad_nomvoie_1_r00003' AS ct_code,
		'r' AS ct_type,  
		'Valeur NULL pour un attribut dont le remplissage est obligatoire. ' AS ct_def,  
		'1' AS ct_sensib,  
		NULL AS ct_detail, 
		--datetime('now', 'localtime') AS ct_date, --sqlite
		NOW() AS ct_date,  --postgresql
		'LIV00000' AS ct_liv,  
		*
	FROM t_adresse
	WHERE ad_nomvoie IS NULL
	;","/*ad_nomvoie_1_r00003*/
	SELECT 
		'ad_nomvoie_1_r00003' AS ct_code,
		'r' AS ct_type,  
		'Valeur NULL pour un attribut dont le remplissage est obligatoire. ' AS ct_def,  
		'1' AS ct_sensib,  
		NULL AS ct_detail, 
		datetime('now', 'localtime') AS ct_date, --sqlite
		--NOW() AS ct_date,  --postgresql
		'LIV00000' AS ct_liv,  
		*
	FROM t_adresse
	WHERE ad_nomvoie IS NULL
	;"
1342,ad_fantoir_1_r00004,Valeur NULL pour un attribut dont le remplissage est obligatoire. ,,R,A,t_adresse,ad_fantoir,ad_fantoir,P,3,1,3,,,1,0,,,,,,,"/*ad_fantoir_1_r00004*/
	SELECT 
'		ad_fantoir_1_r00004' AS ct_code,
		'r' AS ct_type,  
		'Valeur NULL pour un attribut dont le remplissage est obligatoire. ' AS ct_def,  
		'1' AS ct_sensib,  
		NULL AS ct_detail, 
		--datetime('now', 'localtime') AS ct_date, --sqlite
		NOW() AS ct_date,  --postgresql
		'LIV00000' AS ct_liv,  
		*
	FROM t_adresse
	WHERE ad_fantoir IS NULL
	;","/*ad_fantoir_1_r00004*/
	SELECT 
		'ad_fantoir_1_r00004' AS ct_code,
		'r' AS ct_type,  
		'Valeur NULL pour un attribut dont le remplissage est obligatoire. ' AS ct_def,  
		'1' AS ct_sensib,  
		NULL AS ct_detail, 
		datetime('now', 'localtime') AS ct_date, --sqlite
		--NOW() AS ct_date,  --postgresql
		'LIV00000' AS ct_liv,  
		*
	FROM t_adresse
	WHERE ad_fantoir IS NULL
	;"
1343,ad_numero_1_r00005,Valeur NULL pour un attribut dont le remplissage est obligatoire. ,,R,A,t_adresse,ad_numero,ad_numero,P,3,1,3,,,1,0,,,,,,,"/*ad_numero_1_r00005*/
	SELECT 
'		ad_numero_1_r00005' AS ct_code,
		'r' AS ct_type,  
		'Valeur NULL pour un attribut dont le remplissage est obligatoire. ' AS ct_def,  
		'1' AS ct_sensib,  
		NULL AS ct_detail, 
		--datetime('now', 'localtime') AS ct_date, --sqlite
		NOW() AS ct_date,  --postgresql
		'LIV00000' AS ct_liv,  
		*
	FROM t_adresse
	WHERE ad_numero IS NULL
	;","/*ad_numero_1_r00005*/
	SELECT 
		'ad_numero_1_r00005' AS ct_code,
		'r' AS ct_type,  
		'Valeur NULL pour un attribut dont le remplissage est obligatoire. ' AS ct_def,  
		'1' AS ct_sensib,  
		NULL AS ct_detail, 
		datetime('now', 'localtime') AS ct_date, --sqlite
		--NOW() AS ct_date,  --postgresql
		'LIV00000' AS ct_liv,  
		*
	FROM t_adresse
	WHERE ad_numero IS NULL
	;"
1344,ad_rep_1_r00006,Valeur NULL pour un attribut dont le remplissage est obligatoire. ,,R,A,t_adresse,ad_rep,ad_rep,P,3,1,3,,,1,0,,,,,,,"/*ad_rep_1_r00006*/
	SELECT 
'		ad_rep_1_r00006' AS ct_code,
		'r' AS ct_type,  
		'Valeur NULL pour un attribut dont le remplissage est obligatoire. ' AS ct_def,  
		'1' AS ct_sensib,  
		NULL AS ct_detail, 
		--datetime('now', 'localtime') AS ct_date, --sqlite
		NOW() AS ct_date,  --postgresql
		'LIV00000' AS ct_liv,  
		*
	FROM t_adresse
	WHERE ad_rep IS NULL
	;","/*ad_rep_1_r00006*/
	SELECT 
		'ad_rep_1_r00006' AS ct_code,
		'r' AS ct_type,  
		'Valeur NULL pour un attribut dont le remplissage est obligatoire. ' AS ct_def,  
		'1' AS ct_sensib,  
		NULL AS ct_detail, 
		datetime('now', 'localtime') AS ct_date, --sqlite
		--NOW() AS ct_date,  --postgresql
		'LIV00000' AS ct_liv,  
		*
	FROM t_adresse
	WHERE ad_rep IS NULL
	;"
1345,ad_insee_1_r00007,Valeur NULL pour un attribut dont le remplissage est obligatoire. ,,R,A,t_adresse,ad_insee,ad_insee,P,3,1,3,,,1,0,,,,,,,"/*ad_insee_1_r00007*/
	SELECT 
'		ad_insee_1_r00007' AS ct_code,
		'r' AS ct_type,  
		'Valeur NULL pour un attribut dont le remplissage est obligatoire. ' AS ct_def,  
		'1' AS ct_sensib,  
		NULL AS ct_detail, 
		--datetime('now', 'localtime') AS ct_date, --sqlite
		NOW() AS ct_date,  --postgresql
		'LIV00000' AS ct_liv,  
		*
	FROM t_adresse
	WHERE ad_insee IS NULL
	;","/*ad_insee_1_r00007*/
	SELECT 
		'ad_insee_1_r00007' AS ct_code,
		'r' AS ct_type,  
		'Valeur NULL pour un attribut dont le remplissage est obligatoire. ' AS ct_def,  
		'1' AS ct_sensib,  
		NULL AS ct_detail, 
		datetime('now', 'localtime') AS ct_date, --sqlite
		--NOW() AS ct_date,  --postgresql
		'LIV00000' AS ct_liv,  
		*
	FROM t_adresse
	WHERE ad_insee IS NULL
	;"
1346,ad_postal_1_r00008,Valeur NULL pour un attribut dont le remplissage est obligatoire. ,,R,A,t_adresse,ad_postal,ad_postal,P,3,1,3,,,1,0,,,,,,,"/*ad_postal_1_r00008*/
	SELECT 
'		ad_postal_1_r00008' AS ct_code,
		'r' AS ct_type,  
		'Valeur NULL pour un attribut dont le remplissage est obligatoire. ' AS ct_def,  
		'1' AS ct_sensib,  
		NULL AS ct_detail, 
		--datetime('now', 'localtime') AS ct_date, --sqlite
		NOW() AS ct_date,  --postgresql
		'LIV00000' AS ct_liv,  
		*
	FROM t_adresse
	WHERE ad_postal IS NULL
	;","/*ad_postal_1_r00008*/
	SELECT 
		'ad_postal_1_r00008' AS ct_code,
		'r' AS ct_type,  
		'Valeur NULL pour un attribut dont le remplissage est obligatoire. ' AS ct_def,  
		'1' AS ct_sensib,  
		NULL AS ct_detail, 
		datetime('now', 'localtime') AS ct_date, --sqlite
		--NOW() AS ct_date,  --postgresql
		'LIV00000' AS ct_liv,  
		*
	FROM t_adresse
	WHERE ad_postal IS NULL
	;"
1347,ad_alias_1_r00009,Valeur NULL pour un attribut dont le remplissage est obligatoire. ,,R,A,t_adresse,ad_alias,ad_alias,P,3,1,3,,,1,0,,,,,,,"/*ad_alias_1_r00009*/
	SELECT 
'		ad_alias_1_r00009' AS ct_code,
		'r' AS ct_type,  
		'Valeur NULL pour un attribut dont le remplissage est obligatoire. ' AS ct_def,  
		'1' AS ct_sensib,  
		NULL AS ct_detail, 
		--datetime('now', 'localtime') AS ct_date, --sqlite
		NOW() AS ct_date,  --postgresql
		'LIV00000' AS ct_liv,  
		*
	FROM t_adresse
	WHERE ad_alias IS NULL
	;","/*ad_alias_1_r00009*/
	SELECT 
		'ad_alias_1_r00009' AS ct_code,
		'r' AS ct_type,  
		'Valeur NULL pour un attribut dont le remplissage est obligatoire. ' AS ct_def,  
		'1' AS ct_sensib,  
		NULL AS ct_detail, 
		datetime('now', 'localtime') AS ct_date, --sqlite
		--NOW() AS ct_date,  --postgresql
		'LIV00000' AS ct_liv,  
		*
	FROM t_adresse
	WHERE ad_alias IS NULL
	;"
1348,ad_nom_ld_1_r00010,Valeur NULL pour un attribut dont le remplissage est obligatoire. ,,R,A,t_adresse,ad_nom_ld,ad_nom_ld,P,3,1,3,,,1,0,,,,,,,"/*ad_nom_ld_1_r00010*/
	SELECT 
'		ad_nom_ld_1_r00010' AS ct_code,
		'r' AS ct_type,  
		'Valeur NULL pour un attribut dont le remplissage est obligatoire. ' AS ct_def,  
		'1' AS ct_sensib,  
		NULL AS ct_detail, 
		--datetime('now', 'localtime') AS ct_date, --sqlite
		NOW() AS ct_date,  --postgresql
		'LIV00000' AS ct_liv,  
		*
	FROM t_adresse
	WHERE ad_nom_ld IS NULL
	;","/*ad_nom_ld_1_r00010*/
	SELECT 
		'ad_nom_ld_1_r00010' AS ct_code,
		'r' AS ct_type,  
		'Valeur NULL pour un attribut dont le remplissage est obligatoire. ' AS ct_def,  
		'1' AS ct_sensib,  
		NULL AS ct_detail, 
		datetime('now', 'localtime') AS ct_date, --sqlite
		--NOW() AS ct_date,  --postgresql
		'LIV00000' AS ct_liv,  
		*
	FROM t_adresse
	WHERE ad_nom_ld IS NULL
	;"
1349,ad_x_ban_1_r00011,Valeur NULL pour un attribut dont le remplissage est obligatoire. ,,R,A,t_adresse,ad_x_ban,ad_x_ban,P,3,1,3,,,1,0,,,,,,,"/*ad_x_ban_1_r00011*/
	SELECT 
'		ad_x_ban_1_r00011' AS ct_code,
		'r' AS ct_type,  
		'Valeur NULL pour un attribut dont le remplissage est obligatoire. ' AS ct_def,  
		'1' AS ct_sensib,  
		NULL AS ct_detail, 
		--datetime('now', 'localtime') AS ct_date, --sqlite
		NOW() AS ct_date,  --postgresql
		'LIV00000' AS ct_liv,  
		*
	FROM t_adresse
	WHERE ad_x_ban IS NULL
	;","/*ad_x_ban_1_r00011*/
	SELECT 
		'ad_x_ban_1_r00011' AS ct_code,
		'r' AS ct_type,  
		'Valeur NULL pour un attribut dont le remplissage est obligatoire. ' AS ct_def,  
		'1' AS ct_sensib,  
		NULL AS ct_detail, 
		datetime('now', 'localtime') AS ct_date, --sqlite
		--NOW() AS ct_date,  --postgresql
		'LIV00000' AS ct_liv,  
		*
	FROM t_adresse
	WHERE ad_x_ban IS NULL
	;"
1350,ad_y_ban_1_r00012,Valeur NULL pour un attribut dont le remplissage est obligatoire. ,,R,A,t_adresse,ad_y_ban,ad_y_ban,P,3,1,3,,,1,0,,,,,,,"/*ad_y_ban_1_r00012*/
	SELECT 
'		ad_y_ban_1_r00012' AS ct_code,
		'r' AS ct_type,  
		'Valeur NULL pour un attribut dont le remplissage est obligatoire. ' AS ct_def,  
		'1' AS ct_sensib,  
		NULL AS ct_detail, 
		--datetime('now', 'localtime') AS ct_date, --sqlite
		NOW() AS ct_date,  --postgresql
		'LIV00000' AS ct_liv,  
		*
	FROM t_adresse
	WHERE ad_y_ban IS NULL
	;","/*ad_y_ban_1_r00012*/
	SELECT 
		'ad_y_ban_1_r00012' AS ct_code,
		'r' AS ct_type,  
		'Valeur NULL pour un attribut dont le remplissage est obligatoire. ' AS ct_def,  
		'1' AS ct_sensib,  
		NULL AS ct_detail, 
		datetime('now', 'localtime') AS ct_date, --sqlite
		--NOW() AS ct_date,  --postgresql
		'LIV00000' AS ct_liv,  
		*
	FROM t_adresse
	WHERE ad_y_ban IS NULL
	;"
